phiSim, phiPrep, phiNoprep
-18.624040,-19.009217,-19.966045
-30.779239,-30.804708,-30.825368
-3.751529,-3.930445,35.929935
-64.417920,-64.027362,-64.865664
37.921140,38.028729,38.642612
-44.900365,-44.162678,-23.191672
39.200307,39.032095,NaN
-41.854657,-41.946403,-39.374757
-23.910063,-24.149500,-12.452576
-7.500491,-7.520884,10.689165
-2.361166,NaN,NaN
-1.033724,-0.211687,2.517130
23.687207,24.013188,26.278600
39.808540,39.750611,40.475201
-8.157450,-8.099310,-12.588121
83.208055,83.378889,66.325296
29.590308,29.701640,43.045368
2.088470,3.813008,13.536257
15.143419,15.544222,19.538912
8.074495,7.988485,9.521446
41.905249,41.718468,42.070905
-3.607161,-3.710662,-5.677802
6.455651,6.309580,15.158455
-14.629898,-14.703913,0.007306
-28.252797,-28.615320,-28.594573
-26.108962,NaN,-6.753040
10.798835,10.787107,16.564607
-8.857805,-9.030979,-41.455077
18.597320,19.323458,18.651714
-38.990009,NaN,NaN
-60.830128,-60.571567,-60.584662
-8.087837,-8.008046,-6.561984
24.159195,24.204203,49.236345
26.107201,26.222009,25.956322
7.721934,7.819480,12.278018
-30.253513,-30.493708,-31.785291
-5.321237,-5.512945,-7.193495
16.637590,16.632303,18.894977
-13.899150,-13.839636,-5.386920
45.973591,45.768619,46.100147
21.333520,21.432961,25.271518
-24.025024,-24.646358,-29.133928
28.556815,28.786034,37.961547
-9.068197,-2.176546,-5.162910
3.051593,5.503301,14.335314
33.219455,33.308749,35.929868
-17.606512,-21.404579,-23.828099
-14.836937,-15.266205,-12.538293
33.499509,33.786112,33.950386
-34.209022,-34.335545,-35.664943
-4.681025,-4.885226,-6.550391
5.371056,4.062765,19.585918
2.803366,2.668387,36.901242
-28.261309,-28.494955,-30.615478
-4.600092,-4.578834,-45.590428
-30.057376,-30.383418,-9.031924
11.525074,11.558148,18.636292
-19.201577,-19.605771,-19.312517
29.012259,28.851864,29.148634
19.575134,22.658662,42.593714
34.873833,35.055292,40.688123
-28.069730,-28.109637,-28.852888
52.957742,52.792773,54.270043
24.395307,24.778123,22.797381
28.560300,28.787071,39.304295
-33.712206,-34.056485,-10.918637
3.957374,2.384574,-0.962841
29.818060,30.208509,36.451513
16.429706,16.408889,16.522603
1.649389,1.538272,24.439104
-24.164484,-24.633642,-29.042118
-5.407320,-2.394624,-9.076389
-38.621360,-39.282208,-44.836005
5.611948,NaN,6.920753
-7.581945,-6.618382,-13.168095
1.020246,1.065216,8.138552
-4.328368,-0.027096,-10.088481
75.504763,75.417037,75.528155
21.781549,22.180775,23.253597
7.866251,7.799323,11.765770
-53.351461,-53.308175,-53.190155
-57.683552,-57.742903,-57.390087
-20.565650,-18.569506,-24.080995
-7.499959,-7.390964,-10.733903
-4.800562,-4.799978,NaN
-28.986639,NaN,1.325803
25.701798,25.814176,29.144792
2.797491,2.832753,2.691730
17.639024,17.673385,18.202695
9.897110,11.188413,10.844517
12.903478,13.139363,12.986220
54.838462,54.711483,55.075310
20.028137,20.123353,49.430932
-2.975977,-2.817479,-6.373077
16.821101,17.229713,23.394180
-43.438942,-43.640916,3.304842
-10.888487,-11.175539,-10.616040
-18.045089,-18.291023,-19.861273
15.841504,15.796314,15.880382
2.071297,1.821019,17.720246
13.686513,13.599165,32.856257
8.749788,9.183745,11.055302
-53.860454,-67.953525,-56.716282
-34.136691,-34.299209,-36.048764
1.485807,2.326081,7.452576
5.775400,5.902306,9.047576
0.109455,0.170282,-4.991893
27.772563,27.755084,34.850850
-19.847188,-20.288746,2.495619
-8.871388,-9.431259,-6.637479
59.240913,58.964606,59.556978
24.123447,24.337627,23.758568
3.562442,4.295858,8.620552
-18.117020,-18.238829,-8.238333
26.896417,27.145134,27.995000
-35.678982,-35.938869,-22.263426
28.728053,28.868446,34.463759
17.622436,NaN,NaN
30.721941,34.255231,32.527741
31.385087,31.730783,51.076593
-24.497611,-24.696718,-24.365539
-58.799203,-58.533602,-59.263642
-28.187957,-28.467623,-39.580839
-0.282372,-0.018573,5.293746
-18.911566,-19.332718,-28.872976
30.089379,30.063743,33.120692
-5.985518,-6.366994,-8.715137
-1.798256,8.468395,6.884144
-45.041965,-51.738839,-47.104576
61.359114,60.930004,64.450217
-22.823798,-23.235483,-32.669056
-2.055398,-2.984474,-5.019889
-52.413713,-52.317948,-59.537541
6.880926,6.780775,NaN
56.614125,56.374132,60.402967
-42.206960,-42.496019,-41.384050
-17.651817,-19.038845,-25.184998
-2.533013,-2.569280,-2.619502
18.507607,18.930134,23.960717
27.441766,27.598815,28.014722
27.572379,33.219325,28.736038
-25.006541,-24.875127,-24.505965
1.636745,1.376712,13.311094
20.656404,21.309528,13.343182
-19.888737,-20.316335,NaN
-48.267038,-48.010611,-60.389244
20.457425,20.648850,23.209548
6.551986,6.521653,7.921178
49.473861,49.234495,53.324084
3.377145,6.617300,43.019750
19.989301,28.043767,24.864524
-20.830990,-20.910838,-23.764487
52.478090,52.313700,54.131426
-2.878401,-2.729990,-3.869772
20.335412,20.746993,20.854959
20.605395,20.914045,31.995804
16.373030,16.913286,23.620527
-13.895989,0.928024,-14.055773
-24.253805,-24.485665,-24.129345
-7.570191,-7.588909,13.273939
-3.755235,NaN,NaN
33.370877,33.847760,33.808905
17.068699,18.329587,50.128219
-16.085338,-6.724807,-5.231939
-49.635426,-50.706264,-77.208155
21.780120,21.952265,27.810723
-21.294689,-22.034867,-30.572080
8.343554,8.268824,20.493492
-41.240152,-41.410879,-46.013462
-6.280828,-6.467597,-4.072618
2.782072,0.298945,0.969871
41.562423,59.194246,52.223991
-2.862027,-3.228816,-3.099747
19.499657,19.785529,29.462414
7.721419,7.104345,8.905858
10.959309,17.444175,26.937603
16.491614,16.527705,24.014224
16.383667,16.624034,6.959808
-11.917391,-12.246444,-14.548612
6.075900,6.810416,-5.156876
-10.435236,-10.538070,-11.836547
40.779155,40.717815,39.995361
-27.507890,-27.834825,-46.559173
-33.709507,-33.910088,-41.057341
-2.404400,-2.427850,0.582960
-17.541884,-18.306522,1.218453
-9.516180,-9.770354,10.291563
45.830766,46.365181,53.751629
-8.958591,-9.467590,3.858846
-20.144155,-20.147814,38.929803
30.016740,57.354093,45.674200
2.400815,3.356427,2.250580
-10.879343,-10.918510,-23.181099
-55.549508,-55.530630,-55.947821
11.979431,12.025710,11.026270
-25.909747,-26.405308,-26.098961
-8.023588,-8.048843,-4.365744
0.965085,1.172184,0.885409
-11.367690,-12.383026,-2.071271
5.707697,5.535799,11.787813
7.941588,7.936968,8.423829
25.122182,25.299418,24.744820
-55.875928,-55.825804,-58.950685
-16.825861,-16.892374,-18.827900
-1.807878,-1.799528,-2.230839
-2.370588,2.698903,0.714716
-25.461847,-25.497484,-49.719821
-60.035931,-59.801200,-60.413382
-9.499367,-9.778040,-4.579994
0.417104,0.341269,2.929531
