WSS, time,phi
0.000000,222.830579,-15.438644
0.000000,222.933884,-23.654101
0.000000,223.037190,12.130076
0.000000,223.140496,12.653547
0.000000,223.243802,-5.458132
0.000000,223.347107,-58.863707
0.000000,223.450413,-81.690081
0.000000,223.553719,-82.187351
0.000000,223.657025,-72.883943
0.000000,223.760331,-58.296016
0.000000,223.863636,38.238270
0.000000,223.966942,8.865319
0.000000,224.070248,14.125737
0.000000,224.173554,-8.313402
0.000000,224.276860,-23.365110
0.000000,224.380165,-33.558561
0.000000,224.483471,-31.569395
0.000000,224.586777,-9.390364
0.000000,224.690083,10.570613
0.000000,224.793388,-19.493070
0.000000,224.896694,-13.735803
0.000000,225.000000,18.167734
0.000000,225.103306,28.467641
0.000000,225.206612,-33.360762
0.000000,225.309917,6.475534
0.000000,225.413223,-24.839483
0.000000,225.516529,-40.836244
0.000000,225.619835,-63.573822
0.000000,225.723140,77.654479
0.000000,225.826446,77.398952
0.000000,225.929752,-64.320543
0.000000,226.033058,-26.929479
0.000000,226.136364,-70.234906
0.000000,226.239669,-62.812024
0.000000,226.342975,-27.918792
0.000000,226.446281,-14.631073
0.000000,226.549587,61.118060
0.000000,226.652893,89.117787
0.000000,226.756198,66.993602
0.000000,226.859504,53.391253
0.000000,226.962810,41.443155
0.000000,227.066116,42.045986
0.000000,227.169421,33.301444
0.000000,227.272727,45.842222
0.000000,227.376033,62.476789
0.000000,227.479339,44.266763
0.000000,227.582645,42.857091
0.000000,227.685950,49.593200
0.000000,227.789256,60.103869
0.000000,227.892562,80.802268
0.000000,227.995868,-61.596371
0.000000,228.099174,-52.367848
0.000000,228.202479,-44.713740
0.000000,228.305785,-42.647776
0.000000,228.409091,-10.849168
0.000000,228.512397,5.766159
0.000000,228.615702,3.639560
0.000000,228.719008,35.066742
0.000000,228.822314,60.150334
0.000000,228.925620,60.429944
0.000000,229.028926,-86.490376
0.000000,229.132231,-41.716216
0.000000,229.235537,-17.737600
0.000000,229.338843,42.533855
0.000000,229.442149,40.998114
0.000000,229.545455,32.960548
0.000000,229.648760,15.728056
0.000000,229.752066,85.302558
0.000000,229.855372,-43.157747
0.000000,229.958678,54.793916
0.000000,230.061983,-43.757318
0.000000,230.165289,-57.573174
0.000000,230.268595,-24.435828
0.000000,230.371901,-53.882975
0.000000,230.475207,-75.799860
0.000000,230.578512,10.405961
0.000000,230.681818,88.408473
0.000000,230.785124,6.276301
0.000000,230.888430,50.702046
0.000000,230.991736,66.607398
0.000000,231.095041,33.052041
0.000000,231.198347,24.364590
0.000000,231.301653,2.797633
0.000000,231.404959,10.405073
0.000000,231.508264,-13.110542
0.000000,231.611570,-13.876395
0.000000,231.714876,-53.289212
0.000000,231.818182,9.850555
0.000000,231.921488,-2.538127
0.000000,232.024793,-16.558745
0.000000,232.128099,2.312118
0.000000,232.231405,13.974902
0.000000,232.334711,26.467112
0.000000,232.438017,14.084091
0.000000,232.541322,13.740649
0.000000,232.644628,22.976801
0.000000,232.747934,66.396234
0.000000,232.851240,86.914112
0.000000,232.954545,-87.697322
0.000000,233.057851,3.663942
0.000000,233.161157,78.185211
0.000000,233.264463,-76.885918
0.000000,233.367769,-50.849562
0.000000,233.471074,-72.352288
0.000000,233.574380,-62.899826
0.000000,233.677686,-28.161744
0.000000,233.780992,-38.606914
0.000000,233.884298,-41.278070
0.000000,233.987603,-16.267923
0.000000,234.090909,70.202825
0.000000,234.194215,62.373887
0.000000,234.297521,23.060545
0.000000,234.400826,25.985112
0.000000,234.504132,36.371144
0.000000,234.607438,65.237309
0.000000,234.710744,64.064497
0.000000,234.814050,59.195172
0.000000,234.917355,20.176916
0.000000,235.020661,-2.688337
0.000000,235.123967,0.143053
0.000000,235.227273,66.459007
0.000000,235.330579,-9.596866
0.000000,235.433884,87.997846
0.000000,235.537190,76.530261
0.000000,235.640496,-83.937015
0.000000,235.743802,-64.329434
0.000000,235.847107,-71.397252
0.000000,235.950413,-57.353977
0.000000,236.053719,-53.405509
0.000000,236.157025,-37.416779
0.000000,236.260331,-45.218178
0.000000,236.363636,-33.360666
0.000000,236.466942,-30.255193
0.000000,236.570248,-19.738719
0.000000,236.673554,35.921125
0.000000,236.776860,44.548539
0.000000,236.880165,-1.783586
0.000000,237.086777,68.532609
0.000000,237.190083,84.205162
0.000000,237.293388,85.977210
0.000000,237.396694,48.917742
0.000000,237.500000,-10.495068
0.000000,237.603306,-15.614772
0.000000,237.706612,-73.653515
0.000000,237.809917,-31.619320
0.000000,237.913223,-39.892458
0.000000,238.016529,-45.107892
0.000000,238.119835,-18.140078
0.000000,238.223140,-4.345114
0.000000,238.326446,-14.538097
0.000000,238.429752,-9.643570
0.000000,238.533058,-11.995057
0.000000,238.636364,-44.826153
0.000000,238.739669,-42.755498
0.000000,238.842975,-21.796987
0.000000,238.946281,-31.628794
0.000000,239.049587,-39.632356
0.000000,239.152893,-52.559832
0.000000,239.256198,-73.430010
0.000000,239.359504,-24.056732
0.000000,239.462810,86.155710
0.000000,239.566116,83.298652
0.000000,239.669421,63.330202
0.000000,239.772727,64.302149
0.000000,239.876033,-85.571573
0.000000,239.979339,72.054425
0.000000,240.082645,57.214921
0.000000,240.185950,-7.623140
0.000000,240.289256,-30.915099
0.000000,240.392562,-39.848676
0.000000,240.495868,-53.663393
0.000000,240.599174,-77.716115
0.000000,240.702479,-60.595515
0.000000,240.805785,-51.878355
0.000000,240.909091,-48.220987
0.000000,241.012397,-82.061506
0.000000,241.115702,-89.035448
0.000000,241.219008,-84.910005
0.000000,241.322314,18.507942
0.000000,241.425620,10.713635
0.000000,241.528926,-7.644047
0.000000,241.632231,-84.913972
0.000000,241.735537,-88.340768
0.000000,241.838843,61.029511
0.000000,241.942149,-22.536749
0.000000,242.045455,-88.180132
0.000000,242.148760,84.569141
0.000000,242.252066,51.068221
0.000000,242.355372,59.276987
0.000000,242.458678,-71.229747
0.000000,242.561983,13.376843
0.000000,242.665289,8.425450
0.000000,242.768595,-0.101992
0.000000,242.975207,2.298031
0.000000,243.078512,5.565218
0.000000,243.181818,20.687651
0.000000,243.285124,55.579356
0.000000,243.388430,89.974389
0.000000,243.491736,84.423506
0.000000,243.595041,56.402015
0.000000,243.698347,82.871601
0.000000,243.801653,-66.980854
0.000000,243.904959,-74.557552
0.000000,244.008264,-73.247404
0.000000,244.111570,-62.708633
0.000000,244.214876,-78.143293
0.000000,244.318182,64.562211
0.000000,244.421488,68.923358
0.000000,244.524793,-66.569332
0.000000,244.628099,87.670696
0.000000,244.731405,35.507908
0.000000,244.938017,-62.989980
0.000000,245.041322,85.521456
0.000000,245.144628,66.013849
0.000000,245.247934,82.048595
0.000000,245.351240,55.818826
0.000000,245.454545,66.487773
0.000000,245.557851,83.068995
0.000000,245.661157,74.900165
0.000000,245.764463,86.532136
0.000000,245.867769,-86.282159
0.000000,245.971074,-48.084798
0.000000,246.074380,-32.281865
0.000000,246.177686,-19.034935
0.000000,246.280992,-11.571582
0.000000,246.384298,-17.832029
0.000000,246.487603,-15.595953
0.000000,246.797521,-53.595352
0.000000,246.900826,-63.502376
0.000000,247.004132,-42.472602
0.000000,247.107438,-40.178533
0.000000,247.210744,-49.961948
0.000000,247.314050,-63.915790
0.000000,247.417355,-32.957322
0.000000,247.520661,-38.053175
0.000000,247.623967,-60.345903
0.000000,247.727273,-56.460749
0.000000,247.830579,-47.569357
0.000000,247.933884,-45.756457
0.000000,248.037190,-70.114327
0.000000,248.140496,-78.434262
0.000000,248.243802,-14.463020
0.000000,248.347107,-41.593846
0.000000,248.450413,-21.171249
0.000000,248.553719,-19.442468
0.000000,248.657025,15.438365
0.000000,248.760331,38.443985
0.000000,248.863636,63.310244
0.000000,248.966942,36.645021
0.000000,249.070248,40.056860
0.000000,249.173554,59.459026
0.000000,249.276860,57.036829
0.000000,249.380165,36.299011
0.000000,249.483471,58.757351
0.000000,249.586777,13.873041
0.000000,249.690083,39.063791
0.000000,249.793388,20.062781
0.000000,249.896694,2.583641
0.000000,250.000000,-8.756351
0.000000,250.103306,6.597153
0.000000,250.206612,14.675608
0.000000,250.309917,9.704006
0.000000,250.516529,-8.700348
0.000000,250.619835,-17.591286
0.000000,250.723140,-17.818301
0.000000,250.826446,-5.182475
