Pe, phi, Phi
8.117703,-26.911654,0.501175
8.117703,-26.477595,0.508473
8.117703,-26.043536,0.515764
8.117703,-25.609477,0.523043
8.117703,-25.175418,0.530308
8.117703,-24.741359,0.537555
8.117703,-24.307300,0.544779
8.117703,-23.873241,0.551978
8.117703,-23.439183,0.559146
8.117703,-23.005124,0.566280
8.117703,-22.571065,0.573375
8.117703,-22.137006,0.580429
8.117703,-21.702947,0.587436
8.117703,-21.268888,0.594392
8.117703,-20.834829,0.601294
8.117703,-20.400770,0.608138
8.117703,-19.966711,0.614919
8.117703,-19.532652,0.621632
8.117703,-19.098593,0.628275
8.117703,-18.664534,0.634842
8.117703,-18.230475,0.641329
8.117703,-17.796416,0.647733
8.117703,-17.362357,0.654049
8.117703,-16.928298,0.660273
8.117703,-16.494240,0.666401
8.117703,-16.060181,0.672429
8.117703,-15.626122,0.678354
8.117703,-15.192063,0.684170
8.117703,-14.758004,0.689874
8.117703,-14.323945,0.695461
8.117703,-13.889886,0.700929
8.117703,-13.455827,0.706273
8.117703,-13.021768,0.711490
8.117703,-12.587709,0.716576
8.117703,-12.153650,0.721528
8.117703,-11.719591,0.726341
8.117703,-11.285532,0.731013
8.117703,-10.851473,0.735540
8.117703,-10.417414,0.739918
8.117703,-9.983356,0.744145
8.117703,-9.549297,0.748217
8.117703,-9.115238,0.752131
8.117703,-8.681179,0.755886
8.117703,-8.247120,0.759478
8.117703,-7.813061,0.762904
8.117703,-7.379002,0.766161
8.117703,-6.944943,0.769247
8.117703,-6.510884,0.772160
8.117703,-6.076825,0.774897
8.117703,-5.642766,0.777456
8.117703,-5.208707,0.779837
8.117703,-4.774648,0.782037
8.117703,-4.340589,0.784054
8.117703,-3.906530,0.785887
8.117703,-3.472471,0.787534
8.117703,-3.038413,0.788993
8.117703,-2.604354,0.790263
8.117703,-2.170295,0.791345
8.117703,-1.736236,0.792237
8.117703,-1.302177,0.792939
8.117703,-0.868118,0.793450
8.117703,-0.434059,0.793769
8.117703,0.000000,0.793897
8.117703,0.434059,0.793832
8.117703,0.868118,0.793575
8.117703,1.302177,0.793126
8.117703,1.736236,0.792486
8.117703,2.170295,0.791656
8.117703,2.604354,0.790637
8.117703,3.038413,0.789428
8.117703,3.472471,0.788031
8.117703,3.906530,0.786446
8.117703,4.340589,0.784675
8.117703,4.774648,0.782719
8.117703,5.208707,0.780580
8.117703,5.642766,0.778260
8.117703,6.076825,0.775761
8.117703,6.510884,0.773084
8.117703,6.944943,0.770232
8.117703,7.379002,0.767206
8.117703,7.813061,0.764008
8.117703,8.247120,0.760641
8.117703,8.681179,0.757108
8.117703,9.115238,0.753412
8.117703,9.549297,0.749555
8.117703,9.983356,0.745541
8.117703,10.417414,0.741372
8.117703,10.851473,0.737051
8.117703,11.285532,0.732580
8.117703,11.719591,0.727964
8.117703,12.153650,0.723206
8.117703,12.587709,0.718310
8.117703,13.021768,0.713278
8.117703,13.455827,0.708115
8.117703,13.889886,0.702825
8.117703,14.323945,0.697410
8.117703,14.758004,0.691874
8.117703,15.192063,0.686222
8.117703,15.626122,0.680457
8.117703,16.060181,0.674584
8.117703,16.494240,0.668605
8.117703,16.928298,0.662527
8.117703,17.362357,0.656351
8.117703,17.796416,0.650083
8.117703,18.230475,0.643727
8.117703,18.664534,0.637286
8.117703,19.098593,0.630765
8.117703,19.532652,0.624167
8.117703,19.966711,0.617498
8.117703,20.400770,0.610761
8.117703,20.834829,0.603960
8.117703,21.268888,0.597100
8.117703,21.702947,0.590185
8.117703,22.137006,0.583218
8.117703,22.571065,0.576205
8.117703,23.005124,0.569148
8.117703,23.439183,0.562052
8.117703,23.873241,0.554921
8.117703,24.307300,0.547758
8.117703,24.741359,0.540569
8.117703,25.175418,0.533356
8.117703,25.609477,0.526125
8.117703,26.043536,0.518878
8.117703,26.477595,0.511619
8.117703,26.911654,0.504351
8.117703,27.345713,0.497079
8.117703,27.779772,0.489806
8.117703,28.213831,0.482536
8.117703,28.647890,0.475271
8.117703,29.081949,0.468017
8.117703,29.516008,0.460775
8.117703,29.950067,0.453549
8.117703,30.384125,0.446343
8.117703,30.818184,0.439158
8.117703,31.252243,0.431998
8.117703,31.686302,0.424866
8.117703,32.120361,0.417766
8.117703,32.554420,0.410699
8.117703,32.988479,0.403670
8.117703,33.422538,0.396679
8.117703,33.856597,0.389730
8.117703,34.290656,0.382825
8.117703,34.724715,0.375966
8.117703,35.158774,0.369156
8.117703,35.592833,0.362396
8.117703,36.026892,0.355690
8.117703,36.460951,0.349039
8.117703,36.895010,0.342445
8.117703,37.329068,0.335910
8.117703,37.763127,0.329435
8.117703,38.197186,0.323022
8.117703,38.631245,0.316672
8.117703,39.065304,0.310388
8.117703,39.499363,0.304171
8.117703,39.933422,0.298021
8.117703,40.367481,0.291942
8.117703,40.801540,0.285932
8.117703,41.235599,0.279994
8.117703,41.669658,0.274128
8.117703,42.103717,0.268336
8.117703,42.537776,0.262618
8.117703,42.971835,0.256975
8.117703,58.197186,0.107924
8.117703,73.422538,0.038386
8.117703,88.647890,0.012329
8.117703,103.873241,0.003833
8.117703,119.098593,0.001237
8.117703,134.323945,0.000443
8.117703,149.549297,0.000184
8.117703,164.774648,0.000090
8.117703,180.000000,0.000037
10.820270,-180.000000,0.000001
10.820270,-164.774648,0.000002
10.820270,-149.549297,0.000005
10.820270,-134.323945,0.000029
10.820270,-119.098593,0.000175
10.820270,-103.873241,0.000875
10.820270,-88.647890,0.004092
